feature,feature_name,max_weight_score
F29,Feature29,0.5302789
F10,Feature10,0.52056617
F12,Feature12,0.5126234
F11,Feature11,0.5086692
F9,Feature9,0.50504225
F16,Feature16,0.5042314
F2,Feature2,0.4946348
F18,Feature18,0.45893487
F21,Feature21,0.45887336
F6,Feature6,0.45067537
F8,Feature8,0.4386396
F1,Feature1,0.43514058
F4,Feature4,0.42348006
F7,Feature7,0.41225925
F23,Feature23,0.39013416
F14,Feature14,0.38633072
F24,Feature24,0.38553604
F28,Feature28,0.38246962
F26,Feature26,0.37215698
F13,Feature13,0.36367065
F17,Feature17,0.35798487
F27,Feature27,0.35776344
F19,Feature19,0.3498143
F30,Feature30,0.34305593
F20,Feature20,0.33875954
F5,Feature5,0.33238325
F3,Feature3,0.3303647
F22,Feature22,0.29340172
F25,Feature25,0.27634832
F15,Feature15,0.25689083
