feature,feature_name,max_abs_weight_score
F40,feature_40,0.5664978025315252
F41,feature_41,0.5306143866665732
F33,feature_33,0.5206233311798368
F64,feature_64,0.505473800226912
F61,feature_61,0.4991399695605581
F31,feature_31,0.49850049457216483
F36,feature_36,0.48676623681744174
F44,feature_44,0.4749466687422705
F77,feature_77,0.47465827107147124
F11,feature_11,0.4429899978655473
F2,feature_2,0.44210730462560915
F73,feature_73,0.4354503614827851
F65,feature_65,0.42953252386482627
F66,feature_66,0.42106405760335597
F71,feature_71,0.41945944350404707
F5,feature_5,0.41828141811640385
F28,feature_28,0.41827915410714955
F20,feature_20,0.41684154498240344
F53,feature_53,0.41135568310640924
F54,feature_54,0.4038867570963096
F35,feature_35,0.4031394669999536
F1,feature_1,0.40243943806593807
F15,feature_15,0.40193693727638197
F7,feature_7,0.3961775929816721
